Complexity,Loss,Equation
1,0.5702917,"-0.07036791"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41054845"
5,0.38559124,"(x0 + x4) * 0.3385411"
6,0.3223743,"sin(x10 + 1.0802572) + -0.59123397"
7,0.3199504,"sin(sin(x10 + 0.9829184)) + -0.5032363"
8,0.3015907,"sin((x10 + -0.94799656) * sin(exp(x4)))"
9,0.29695454,"sin(sin(sin(exp(x4))) * (x10 + -0.9132043))"
10,0.25905433,"sin(0.38859752 + ((-1.4307604 + x10) * sin(exp(x4))))"
11,0.24852209,"sin((sin(sin(exp(x4))) * (x10 + -1.4854004)) + 0.33177057)"
13,0.24085192,"cos((x10 * 0.5286402) + (sin(sin(exp(x4)) * -2.2574503) + -1.1637958))"
17,0.23977025,"sin(x10 + (((x5 + -2.0625854) * -0.37751007) + x0)) * cos((x3 * 0.45721) + -0.6420072)"
19,0.23350395,"(sin(x10 + (((x5 + -1.7925708) * -0.42745274) + x0)) * cos((x3 * 0.4199372) + -0.62359005)) + -0.09041913"
21,0.22987784,"exp(((x3 * -1.6823776) + x10) * -0.28352222) * (sin((x10 + ((x5 + -2.000134) * -0.36510262)) + x0) * 0.5732252)"
22,0.22418557,"sin((exp(sin(((x10 * 1.8979474) + x6) * -0.7044722)) * 0.371381) * ((x10 + x0) + ((x5 + -1.1403154) * -0.56417406)))"
24,0.21591185,"sin((exp((x6 + x10) * (exp(x10 * 1.622779) * -1.1287082)) * (x0 + (((x5 + -0.8307246) * -0.593053) + x10))) * 0.6025491)"
27,0.21218559,"sin(exp(-1.1179037 * ((x10 + x6) * exp((x10 * -1.4583323) * -0.6691332))) * sin(0.64211917 * (((x5 + -1.1179037) * -0.537928) + (x0 + x10))))"
29,0.20310837,"sin(exp((x10 + x6) * (exp(((x10 * -1.5420349) + 0.8497496) * -0.5346291) * -1.3683856)) * sin(((((x5 + -0.8262609) * -0.62378514) + x0) + x10) * 0.74833524))"
30,0.20224258,"sin(exp((-1.1179037 * (x10 + x6)) * exp(((x10 * -1.4583323) + cos(x3)) * -0.537928)) * sin((0.64211917 * (((-1.1179037 + x5) * -0.537928) + x0)) + x10))"
