Complexity,Loss,Equation
1,0.44329613,"0.016022008"
3,0.39840025,"x2 * -0.21248999"
4,0.39224342,"sin(x1) * -0.3392246"
5,0.3694535,"(x1 + x7) * -0.19086799"
6,0.36561227,"(x7 + sin(x1)) * -0.23036829"
7,0.35413262,"(x2 + (x1 + x7)) * -0.14885634"
8,0.33886778,"(x7 + (x1 * exp(x6))) * -0.20594071"
9,0.33695298,"sin(((x1 * exp(x6)) + x7) * -0.2145285)"
10,0.32962495,"((x1 * -0.1541158) * exp(x6)) + (x7 * -0.2145285)"
11,0.3236894,"(x7 + ((x10 * (x3 * x6)) + x2)) * -0.22044839"
14,0.32092384,"(-0.20594071 * x7) + (exp(x6) * ((-0.11751334 * x1) + (x2 * -0.043193154)))"
15,0.32067937,"(((x1 * -0.117511444) + (x2 * -0.043206256)) * exp(x6)) + sin(x7 * -0.20594724)"
17,0.32009158,"(-0.20594071 * x7) + (exp(x6) * ((-0.11751334 * x1) + (-0.006985198 + (sin(x2) * -0.043193154))))"
19,0.31259254,"(-0.40764418 * ((x10 + -0.85068315) * ((x6 + 1.7373636) * ((x1 * -0.32954344) + -0.11111927)))) + (x7 * -0.23865937)"
20,0.30994686,"sin(((((1.7373636 + x6) * (x10 + -0.85068315)) * -0.47329777) * ((-0.32954344 * x1) + -0.11111927)) + (x7 * -0.23865937))"
21,0.3055129,"(((((x6 + 1.7373636) * -0.40764418) * (x10 + -0.85068315)) + 0.2996431) * ((x1 * -0.32954344) + -0.11111927)) + (x7 * -0.23865937)"
22,0.30224022,"sin(((((1.7373636 + x6) * ((x10 + -0.85068315) * -0.47329777)) + 0.2996431) * ((-0.32954344 * x1) + -0.11111927)) + (x7 * -0.23865937))"
25,0.2975132,"(((((x6 + 1.6741321) * -0.4903722) * (((x1 * -0.2160795) + -0.61680585) + x10)) + 0.3347452) * ((x1 * -0.35529315) + -0.11719478)) + (x7 * -0.23510003)"
