Complexity,Loss,Equation
1,0.6025167,"0.20513768"
3,0.5894516,"x2 * 0.23484851"
4,0.5448976,"cos(x10) * 0.46152017"
5,0.43154645,"(x3 * x6) * -0.4566783"
6,0.42751217,"x6 * sin(x3 * -0.49296418)"
7,0.39430788,"(x6 * -0.442816) * (x3 + 0.43692797)"
8,0.393555,"((cos(x4) + x3) * x6) * -0.4379477"
9,0.38393152,"(x6 + 0.24242283) * ((x3 + 0.6047394) * -0.43351328)"
10,0.38252482,"sin(((x3 * -0.4921619) + -0.3056823) * (x6 + 0.25572392))"
13,0.35918412,"((x3 + x5) * -0.1782888) + (((x3 * x6) + x6) * -0.35463285)"
