Complexity,Loss,Equation
1,0.44329613,"0.016050905"
3,0.39840025,"x2 * -0.21248975"
4,0.3922434,"sin(x1) * -0.33923268"
5,0.36945352,"(x7 + x1) * -0.19086863"
6,0.36561227,"(x7 + sin(x1)) * -0.23037015"
7,0.3541326,"(x7 + (x1 + x2)) * -0.14885785"
8,0.34790513,"((x2 + x7) + sin(x1)) * -0.17364906"
9,0.33331275,"((x1 * (x6 * x6)) + x7) * -0.24932069"
10,0.32962492,"((x1 * exp(x6)) * -0.1541161) + (x7 * -0.21452488)"
11,0.32874337,"(x7 * -0.20447616) + ((x6 * (x1 * -0.30011973)) * x6)"
12,0.32039052,"(x7 * -0.19647995) + ((sin(x1) * (x10 + -1.4653083)) * 0.27111897)"
14,0.31141353,"((x7 * -0.23361397) + (x10 * 0.15400673)) + (exp(x6) * (x1 * -0.1942935))"
15,0.30835015,"(x7 * -0.23656975) + ((x10 * 0.16246466) + ((sin(x1) * -0.26059172) * exp(x6)))"
16,0.30791757,"sin((x7 * -0.25460944) + ((x10 * 0.18148252) + (sin(x1) * (exp(x6) * -0.28214318))))"
18,0.30061468,"((exp(x6 + (x10 * -0.3173906)) * (x1 * -0.14913724)) + (x10 * 0.16937861)) + (x7 * -0.25875422)"
19,0.29872122,"sin((x10 * 0.1880686) + ((x7 * -0.2723124) + (exp((x10 * -0.35557652) + x6) * (x1 * -0.17048894))))"
20,0.29322696,"((((exp((x10 * -0.39291877) + x6) * -0.14683117) * x1) + (x7 * -0.26865274)) + (x10 * 0.18482709)) + -0.092360824"
