Complexity,Loss,Equation
1,0.5702917,"-0.07037667"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41074306"
5,0.3855912,"(x0 + x4) * 0.3385374"
6,0.32237437,"cos(x10 + -0.49054667) + -0.59123176"
7,0.3199504,"sin(cos(x10 + -0.58783853)) + -0.5032979"
8,0.29563254,"(x10 + cos(x10 * 2.504654)) * 0.4315008"
9,0.29390153,"0.49433228 * (cos(x10 + x0) + sin(x0))"
10,0.2902803,"sin((cos(x10 + x10) + x10) * cos(x4))"
11,0.28487167,"(cos(x0 + x10) + sin(x0 + -0.27367818)) * 0.5293413"
12,0.26842973,"((cos(x0 + x10) + x0) + (x4 * 0.47510004)) * 0.4083961"
13,0.26312023,"(sin(x0) + (cos(x0 + x10) + (x4 * 0.35250884))) * 0.4979748"
14,0.2601217,"((sin(cos(x0 + x10)) + sin(x0)) + (x4 * 0.31695953)) * 0.5356118"
15,0.25455445,"(cos(x0 + x10) + (sin(x0) + ((x4 + x10) * 0.38749582))) * 0.4052747"
16,0.25399387,"(sin(x0) + (cos(x0 + x10) + sin((x4 + x10) * 0.4556885))) * 0.40279245"
17,0.24919714,"(sin(x0) + ((((x8 * -0.7779744) + x3) * 0.29849502) + cos(x10 + x0))) * 0.5478571"
18,0.24693081,"(((x3 * 0.29849502) + sin(x0 + (sin(x7) * -0.37994954))) + cos(x0 + x10)) * 0.5478571"
19,0.24481116,"(((cos(x10 + x0) + (x3 * 0.29849502)) + (cos(inv(x6)) * -0.3576637)) + sin(x0)) * 0.5478571"
20,0.2439625,"((sin((sin(x7 + 0.16063833) * -0.60901934) + x0) + (x3 * 0.26112762)) + cos(x10 + x0)) * 0.5761392"
