Complexity,Loss,Equation
1,0.5702917,"-0.070375174"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.410667"
5,0.3855912,"(x0 + x4) * 0.3385365"
6,0.3223743,"sin(x10 + 1.0802563) + -0.5912304"
7,0.32042587,"sin(cos(x10 + -0.5413261) + -0.60731393)"
8,0.31975964,"(sin(x0) * -0.37116742) * (x10 + -1.4956181)"
9,0.2940213,"sin(sin(x6) * ((x6 * x0) + -0.39182547))"
10,0.28503048,"((sin(x0) * -0.62156147) * (x10 + -0.85665035)) + 0.27347288"
11,0.2740005,"sin(((cos(x10 + 2.190728) + 0.83775485) * x0) + 0.30547678)"
12,0.26837873,"((x10 + -1.0638083) * (x0 * -0.36121657)) + exp(x4 + -1.8954656)"
13,0.2681311,"sin((((x10 + -1.0638083) * x0) * -0.36121657) + exp(x4 + -1.8954656))"
14,0.25135922,"(x4 * 0.19893302) + sin(((x0 * -0.56440026) * (x10 + -0.9492246)) + 0.27425876)"
16,0.24764098,"sin(((x8 + x2) * -0.19274588) + (((x10 + -0.72437555) * (x0 * -0.725668)) + 0.42478976))"
18,0.2351796,"sin((((x10 + -0.9964447) * (x0 * -0.6417227)) + 0.3380645) + (((x5 + x2) + x8) * -0.19649261))"
20,0.2349001,"sin(((((x10 + -0.9917922) * x0) * -0.65184975) + 0.3841543) + (((x8 + x5) + x2) * -0.19886771)) + -0.03797562"
