Complexity,Loss,Equation
1,0.5702917,"-0.07037429"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.4105434"
5,0.38559124,"(x0 + x4) * 0.33853868"
6,0.3223743,"cos(x10 + -0.49053815) + -0.5912345"
7,0.31995043,"sin(sin(x10 + 0.9830534)) + -0.50329155"
8,0.3047639,"(x10 + cos(x0 + x10)) * 0.39542744"
9,0.296481,"0.44510788 * (cos(x10 + x0) + sin(x0))"
10,0.27955344,"sin(exp(x3)) * sin((x0 + x10) + 0.7660635)"
11,0.25438753,"sin((x10 + sin(x0)) + 0.806256) * sin(exp(x3))"
13,0.24055225,"cos(sin(x2) + 0.5120961) * sin(sin(x0) + (x10 + 0.81759185))"
14,0.2394101,"sin((sin(x0) + 0.82303494) + x10) * cos((x3 * -0.45969492) + 0.62991446)"
15,0.23637314,"cos(sin(x2) + 0.5120961) * (sin((x10 + 0.81759185) + sin(x0)) + -0.08288247)"
16,0.23458554,"cos(sin(x2) + 0.5040558) * (sin((x10 + sin(sin(x0))) + 0.85048264) + -0.12950894)"
17,0.23415767,"cos(sin(x2 * 0.71545863) + 0.5522761) * (sin((sin(x0) + x10) + 0.8249556) + -0.051909797)"
18,0.23406245,"cos((x2 * sin(cos(x10))) + 0.4874731) * (sin((x10 + 0.834028) + sin(x0)) + -0.092499696)"
19,0.22774047,"sin((x10 + 0.834028) + sin(-0.092499696 + x0)) * cos((cos(x10) * sin(x6)) + cos(x0))"
