Complexity,Loss,Equation
1,0.5702917,"-0.07018818"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41066748"
5,0.3855912,"(x0 + x4) * 0.3385374"
6,0.3223743,"cos(x10 + -0.49055824) + -0.5912487"
7,0.3199504,"sin(sin(x10 + 0.9830059)) + -0.50327086"
8,0.29861587,"0.41593972 * (cos(x10 * 2.2452154) + x10)"
9,0.27779692,"sin(sin(x10 + (x4 * x4)) + -0.60305107)"
11,0.26819572,"sin(sin(x10 + ((x4 * x4) + -0.20770158)) + -0.5896063)"
13,0.2609546,"sin(sin((((x4 * x4) + -0.50654775) * 1.2820026) + x10) + -0.5026486)"
14,0.25583744,"sin(sin(x10 + ((x4 * sin(x10 + 1.693921)) * x4)) + -0.6360869)"
15,0.24225536,"sin(exp(sin((sin(x10 + 1.8602937) * (x4 * x4)) + x10)) + -2.2297177)"
16,0.23379096,"sin(sin(sin((x10 + (x4 * x4)) * cos(sin(x10))) + -0.70330817) * 1.817172)"
