Complexity,Loss,Equation
1,0.44329613,"0.016052116"
3,0.39840025,"x2 * -0.2125158"
4,0.3922434,"sin(x1) * -0.33923078"
5,0.3694535,"(x1 + x7) * -0.19086799"
6,0.36561227,"(sin(x1) + x7) * -0.23038459"
7,0.3541326,"((x2 + x7) + x1) * -0.14885788"
8,0.3479051,"(x7 + (sin(x1) + x2)) * -0.1736437"
9,0.33166265,"(((x0 * x6) + x1) + x7) * -0.2008683"
10,0.32938832,"((x7 + (x6 * x0)) + sin(x1)) * -0.22511746"
11,0.3290175,"((sin(x0) * x6) + (sin(x1) + x7)) * -0.22511746"
12,0.32430902,"((((x10 * x6) * x3) + sin(x1)) + x7) * -0.22820765"
14,0.3097201,"((x7 + x1) * -0.21865752) + ((sin(x2) * (0.3427334 * x6)) * x10)"
15,0.29806694,"((sin(x2) * 0.36741292) * (x10 * x6)) + ((x7 + sin(x1)) * -0.2749177)"
16,0.2972835,"((sin(sin(x2)) * 0.41454494) * (x6 * x10)) + ((sin(x1) + x7) * -0.2762618)"
18,0.2914478,"(((sin(x1) + sin(x2)) + x7) * -0.21882781) + (((sin(x2) * x6) * 0.3413457) * x10)"
19,0.28949162,"sin((x10 * ((sin(x2) * 0.4218906) * x6)) + (((x7 + sin(x2)) + sin(x1)) * -0.24265479))"
20,0.28946644,"sin((sin(sin(x2) * 0.42865273) * (x6 * x10)) + ((sin(x2) + (x7 + sin(x1))) * -0.24237336))"
