Complexity,Loss,Equation
1,0.5702917,"-0.07037839"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.4106392"
5,0.38559124,"(x4 + x0) * 0.3385393"
6,0.3223743,"sin(x10 + 1.0802554) + -0.5912299"
7,0.3199504,"sin(sin(x10 + 0.9830114)) + -0.50327384"
8,0.30783772,"sin(x10 + (cos(x3) + sin(x0)))"
9,0.29511303,"sin(sin(x10 + (cos(x3) + sin(x0))))"
10,0.27955344,"sin(exp(x3)) * sin((x0 + 0.7660457) + x10)"
11,0.25436145,"sin((x10 + 0.8160517) + sin(x0)) * sin(exp(x3))"
13,0.24004653,"cos(sin(x0) + (x10 + -0.7591488)) * ((x3 * 0.3355033) + 0.7303816)"
14,0.23941007,"cos((x3 * 0.45959556) + -0.63008606) * cos((x10 + -0.74794173) + sin(x0))"
15,0.2366393,"(((x3 * 0.3080836) + 0.7423587) * cos((sin(x0) + x10) + -0.749474)) + -0.06341582"
16,0.23401947,"(((x3 * 0.3080836) + 0.7423587) * cos((x10 + -0.749474) + sin(sin(x0)))) + -0.06341582"
17,0.23189946,"sin(((x3 * 0.4413386) + 0.9151248) * (cos((sin(sin(x0)) + -0.6943491) + x10) + -0.15481001))"
18,0.22880404,"sin(cos((x10 + sin(x0)) + -0.77039087) * ((x3 * 0.33032086) + ((x10 * -0.27343163) + 0.77466863)))"
