Complexity,Loss,Equation
1,0.44329613,"0.016053243"
3,0.39840025,"x2 * -0.21248992"
4,0.3922434,"sin(x1) * -0.33921456"
5,0.3694535,"(x1 + x7) * -0.19087508"
6,0.36566052,"(x7 + sin(x1)) * -0.2246438"
7,0.3541326,"((x7 + x1) + x2) * -0.14885785"
8,0.3479051,"(x2 + (sin(x1) + x7)) * -0.17364989"
9,0.33166263,"(x1 + ((x0 * x6) + x7)) * -0.20086236"
11,0.32572117,"((x7 + x2) + ((x10 * x3) * x6)) * -0.19174726"
12,0.31956998,"(((x1 + (x6 * x10)) * cos(x4)) + x7) * -0.25042892"
13,0.303213,"(x7 + (((x2 + (x10 * x3)) * x6) + x1)) * -0.19174726"
14,0.3026393,"-0.19174726 * (x7 + ((x6 * (x2 + (x10 * x3))) + sin(x1)))"
15,0.30166486,"-0.19174726 * (((x1 + -0.108498886) + x7) + ((x2 + (x10 * x3)) * x6))"
17,0.30132067,"(x7 + (((x1 + (x6 * x2)) * 0.7933274) + ((x10 * x6) * x3))) * -0.21912347"
18,0.2985462,"(((x7 + (x6 * (x2 + (x10 * x3)))) + -0.35206044) + sin(x1 * 1.1540291)) * -0.19174726"
20,0.29735345,"(((x7 + (x6 * (x2 + (x10 * x3)))) + (sin(x1 * 1.1634296) + -0.17546344)) + -0.14399976) * -0.21043658"
