Complexity,Loss,Equation
1,0.5702917,"-0.07037394"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.4106682"
5,0.38559124,"(x4 + x0) * 0.3385401"
6,0.3223743,"sin(x10 + 1.0802649) + -0.5912214"
7,0.3199504,"sin(sin(x10 + 0.9830198)) + -0.50327045"
8,0.3015907,"sin((x10 + -0.9480523) * sin(exp(x4)))"
9,0.27779692,"sin(sin((x4 * x4) + x10) + -0.6030523)"
11,0.26819572,"sin(sin((x10 + -0.20762625) + (x4 * x4)) + -0.5896388)"
12,0.26597452,"sin(sin(x10 + 0.48065174) + ((x4 + -1.1188481) * exp(x4)))"
13,0.25638002,"sin(sin(x10 + 0.6050878) + sin((x4 + -1.1706736) * exp(x4)))"
14,0.2477758,"sin(sin((sin((x9 + x10) + x4) + 0.4962905) + x10) + -0.44545987)"
15,0.24578679,"sin(sin(0.4962905 + (sin(sin(x9 + (x10 + x4))) + x10)) + -0.44545987)"
16,0.24332267,"sin(sin((sin(((x4 * 0.8188201) + x10) + x9) + x10) + 0.50452507) + -0.41516486)"
17,0.23510842,"sin(sin((x10 + 0.6638784) + sin(sin(x10 + x0) + (x10 + x4))) + -0.345686)"
18,0.23368542,"sin(sin((x10 + sin((x4 + x10) + sin(x10 + sin(x0)))) + 0.6759132) + -0.34702796)"
19,0.22860445,"sin(sin((x10 + sin((x4 + x10) + sin(x0 + (x10 + -0.35747847)))) + 0.72797674) + -0.31463793)"
20,0.22202095,"sin(sin((x10 + 0.7675588) + sin((x10 + x4) + sin(x10 + sin(x0 + -0.53396964)))) + -0.29649466)"
