Complexity,Loss,Equation
1,0.6025167,"0.20513764"
3,0.5894516,"x2 * 0.23485535"
4,0.5448976,"cos(x10) * 0.46151665"
5,0.43154636,"x3 * (x6 * -0.45677662)"
6,0.42682424,"x6 * sin(x3 * -0.53042346)"
7,0.39430785,"(x6 * -0.44262376) * (x3 + 0.43724465)"
8,0.38483933,"(x6 * (x3 + cos(x3))) * -0.33674031"
9,0.3833588,"x6 * sin((x3 + cos(x3)) * -0.38219267)"
10,0.37586966,"sin(((x3 + 3.8306239) + (x6 + x5)) * 0.7283169)"
11,0.3612604,"sin(2.8179808 + (0.7453878 * (sin(x5) + (x6 + x3))))"
13,0.34868765,"sin((cos(x3 + -0.43334687) + ((x6 + x5) * 0.6435052)) + 2.1754522)"
14,0.3391134,"sin((cos(x3 + -0.44315353) + ((x6 + sin(x5)) * 0.61971325)) + 2.2239819)"
