Complexity,Loss,Equation
1,0.44329613,"0.016050238"
3,0.39840025,"x2 * -0.21248901"
4,0.39224336,"sin(x1) * -0.33919418"
5,0.3694535,"(x1 + x7) * -0.19086799"
6,0.3656123,"(x7 + sin(x1)) * -0.23037034"
7,0.3541326,"(x1 + (x2 + x7)) * -0.14885782"
8,0.33265778,"((x1 * exp(x6)) + x7) * -0.16653194"
9,0.32840976,"((exp(x6) * sin(x1)) + x7) * -0.20755175"
11,0.3225082,"(x7 + (sin(x1 + 0.20162342) * exp(x6))) * -0.2196826"
16,0.31065592,"((x1 + (exp(x2 + (x10 * -1.0079874)) + (x7 + x9))) + -1.8361055) * -0.15113898"
17,0.30662262,"sin(((x7 + x9) + (exp(x2 + (x10 * -1.1002448)) + (x1 + -1.8244199))) * -0.17054118)"
18,0.30596292,"sin(sin((x9 + ((x7 + exp(x2 + (x10 * -1.1115525))) + (x1 + -1.821304))) * -0.18067981))"
19,0.30401656,"sin(((((x9 + -1.4460316) + x1) + exp((x10 * -1.223642) + (x2 + -0.32053557))) + x7) * -0.19317387)"
20,0.30291182,"sin(sin((x9 + (((x1 + -1.4320812) + exp((x10 * -1.2488642) + (x2 + -0.35241428))) + x7)) * -0.20727545))"
