Complexity,Loss,Equation
1,0.5702917,"-0.07036951"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41063705"
5,0.38559124,"(x4 + x0) * 0.3385383"
6,0.3223743,"sin(x10 + 1.0802563) + -0.5912311"
7,0.3199504,"sin(sin(x10 + 0.9830105)) + -0.50327593"
8,0.30500928,"(cos(x10 + x0) + x10) * 0.38352326"
9,0.30452093,"sin(inv(x10 + 0.545697) * 0.48817098) + -0.25860113"
10,0.28926128,"sin(inv(sin(x10 + 0.5226027)) * 0.47686103) + -0.32282016"
11,0.27510166,"sin(sin(inv(sin(x10 + 0.52262664)) * 0.4768786) + -0.36856744)"
12,0.27289173,"sin((sin(exp(x10) + x10) + sin(x10)) * cos(x4))"
13,0.2682043,"sin(((x0 + cos(x10 + x10)) * (x10 + -1.2319181)) * -0.29390493)"
14,0.26770502,"sin(-0.36509785 + sin(0.514369 * inv(sin(sin(x10 + 0.7756231) + x10))))"
15,0.25898296,"(((x4 + (x0 + x10)) * (x4 + 2.337348)) * (x10 + -1.9279022)) * -0.051954605"
16,0.2435052,"sin(((((x0 + x4) + x10) * (x4 + 1.9639544)) * (x10 + -1.6003639)) * -0.10261428)"
