Complexity,Loss,Equation
1,0.6025167,"0.20508242"
3,0.5894516,"x2 * 0.23485269"
4,0.5448976,"cos(x10) * 0.46150997"
5,0.4315464,"(x3 * -0.45684615) * x6"
6,0.42682424,"sin(x3 * -0.5304225) * x6"
7,0.39430788,"x6 * ((x3 + 0.4373237) * -0.4426479)"
8,0.38774312,"x6 * ((x3 + cos(x4)) * -0.3806917)"
9,0.3833078,"x6 * sin((x3 + cos(x3)) * -0.3806917)"
10,0.38252482,"sin((x6 + 0.25572562) * ((x3 * -0.49215874) + -0.3056828))"
11,0.36988354,"(cos(cos(x4) + x4) + x3) * (x6 * -0.47865546)"
12,0.36619774,"sin((((x9 * x2) * -0.37795714) + (x3 * -0.56523764)) * x6)"
13,0.3529327,"sin((x3 * (x6 * -0.75096387)) + sin((x9 * x9) * -0.30803543))"
14,0.34564152,"sin(((x9 * -0.16077329) * (x2 + x9)) + ((x3 * -0.6999332) * x6))"
15,0.34447563,"sin((x6 * (x3 * -0.7005327)) + sin(x9 * ((x9 + x2) * -0.19778706)))"
16,0.33174723,"sin((((x9 + (x4 * x3)) * x9) * -0.18708795) + ((x3 * x6) * -0.7187701))"
17,0.33036688,"sin(((x3 * x6) * -0.71211857) + (sin(((x4 * x3) + x9) * -0.20668776) * x9))"
18,0.33016452,"sin((((x9 + (x3 * (x6 * -1.1485629))) * -0.20668776) * x9) + (x3 * (x6 * -0.7109035)))"
19,0.32779562,"sin(sin((x9 + ((x3 * x6) * -1.4149792)) * (x9 * -0.23234294)) + ((x3 * x6) * -0.65835196))"
20,0.32687494,"sin((x3 * (x6 * -0.65835196)) + (x9 * sin(sin(-0.23234294 * (((x3 * -1.4149792) * x6) + x9)))))"
