Complexity,Loss,Equation
1,0.44329613,"0.01605312"
3,0.39840025,"x2 * -0.21248926"
4,0.39224336,"sin(x1) * -0.33919477"
5,0.3694535,"(x7 + x1) * -0.19084872"
6,0.36561227,"(x7 + sin(x1)) * -0.23036766"
7,0.35633856,"(sin(x7) + sin(x1)) * -0.31401026"
8,0.3451969,"-0.2225306 * ((exp(x6) * x1) + x7)"
9,0.3290074,"-0.2225306 * ((exp(x6) * sin(x1)) + x7)"
11,0.3131584,"(((x3 + exp(x6)) * sin(x1)) + x7) * -0.23563966"
12,0.31099245,"(x7 + (sin(x1) * (exp(x6) + sin(x3)))) * -0.23446392"
13,0.3087677,"-0.23446392 * (x7 + (sin(0.16859855 + x1) * (exp(x6) + x3)))"
14,0.30634102,"((sin(x1 + 0.16859855) * (exp(x6) + sin(x3))) + x7) * -0.23446392"
15,0.2984252,"(((exp(x6) + x3) * sin(x1 + (-0.23982897 * x4))) + x7) * -0.25171655"
16,0.29782262,"sin((x7 + ((x3 + exp(x6)) * sin((x3 * -0.41595218) + x1))) * -0.26032007)"
17,0.29646993,"sin((((sin(x3) + exp(x6)) * sin(x1 + (x4 * -0.2985716))) + x7) * -0.27332535)"
18,0.29632667,"sin(sin(sin(-0.2805127) * ((sin(x1 + (x4 * -0.2985716)) * (x3 + exp(x6))) + x7)))"
20,0.29415697,"sin(sin(-0.2544535) * (x7 + ((sin(x3) + exp(x6)) * sin(sin(x4 * exp(1.1088976)) + x1))))"
