Complexity,Loss,Equation
1,0.5702917,"-0.07037153"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41063708"
5,0.38559124,"(x4 + x0) * 0.3385393"
6,0.3223743,"sin(x10 + 1.0802549) + -0.5912287"
7,0.3199504,"sin(sin(x10 + 0.9830214)) + -0.5032724"
8,0.30692753,"sin(sin(inv(x4 + -1.441656)) + x10)"
9,0.27177012,"sin(sin(inv(x4 + -1.441656)) + sin(x10))"
10,0.26499698,"sin(sin(inv(x4 + -1.4433136)) + (x10 * 0.67142016))"
11,0.26258886,"sin((x10 * 0.62498593) + sin(sin(inv(x4 + -1.4431899))))"
12,0.24682455,"sin((sin(inv(x4 + -1.4538413)) + 0.21924025) + (x10 * 0.5229101))"
20,0.24564299,"sin(sin(sin(sin(x6) * sin(x6))) * (x0 + ((x6 + (x4 + 0.45433035)) * (x4 * 1.631808))))"
