Complexity,Loss,Equation
1,0.5702917,"-0.070374995"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41051662"
5,0.38559124,"(x4 + x0) * 0.33854133"
6,0.3223743,"cos(x10 + -0.4905394) + -0.5912333"
7,0.3199504,"sin(cos(x10 + -0.5877842)) + -0.50327164"
8,0.2956325,"(x10 + cos(x10 * 2.504466)) * 0.43149728"
9,0.29500479,"sin((x10 + cos(x10 * 2.465262)) * 0.49980164)"
10,0.26270294,"sin((x10 + cos(x10 * -2.6546474)) * cos(x3))"
12,0.26140833,"sin(cos(x4 * 0.96887213) * (cos(2.465262 * x10) + x10))"
14,0.24731179,"sin(sin((x10 + (x10 + 2.0857124)) + (cos(x0) * x6)) + x10)"
16,0.2390144,"sin((x10 + sin(x10 + (x10 + ((cos(x0) * x6) + 2.0205755)))) * 0.8583671)"
18,0.23401856,"sin(sin(x10) + sin(sin((x6 + (cos(x6 + x3) + x10)) + (x10 + 1.1474903))))"
19,0.23000318,"sin((sin(x10) * 1.210325) + sin(x6 + (((x10 + cos(x3 + x6)) + 1.2367876) + x10)))"
20,0.2276106,"sin(sin(x10) + sin(cos((x6 + ((x10 + -0.44464046) + x10)) + cos((x6 + 0.2793168) + x3))))"
