Complexity,Loss,Equation
1,0.5702917,"-0.070195474"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41066968"
5,0.38559124,"(x4 + x0) * 0.3385413"
6,0.3223743,"sin(x10 + 1.080261) + -0.59123313"
7,0.3199504,"sin(sin(x10 + 0.98305285)) + -0.5032571"
8,0.30783772,"sin((cos(x3) + sin(x0)) + x10)"
9,0.29511303,"sin(sin((cos(x3) + sin(x0)) + x10))"
10,0.27955347,"sin(exp(x3)) * sin((x10 + 0.76606286) + x0)"
11,0.25436145,"sin(exp(x3)) * sin(x10 + (sin(x0) + 0.81600106))"
13,0.24512565,"sin(exp(x3 + -0.3768567)) * sin(sin(x0) + (x10 + 0.7938221))"
17,0.24252959,"sin((sin(sin(x10) + (cos(x10 + x0) + 0.8087197)) + 5.65283) + (x7 * -0.2424627))"
18,0.23710129,"sin((x10 + cos(cos((x10 + -0.23162097) * -2.7233984) + sin(x6 + x0))) + sin(x0))"
19,0.23213653,"sin(sin((cos(cos((x10 + -0.23089822) * -2.703708) + sin(x0 + x6)) + sin(x0)) + x10))"
20,0.22659732,"sin((sin(x0) + x10) + cos(sin(x6 + x0) + cos((x10 * -2.666374) + 0.6346283))) * 0.8507446"
