Complexity,Loss,Equation
1,0.6025167,"0.20515344"
3,0.58945155,"x2 * 0.23491116"
4,0.5448977,"cos(x10) * 0.46162388"
5,0.43154642,"x6 * (x3 * -0.45668003)"
6,0.42682424,"sin(x3 * -0.5304227) * x6"
7,0.39430785,"x6 * ((x3 * -0.44275576) + -0.19341722)"
8,0.38774312,"((x3 + cos(x4)) * -0.38069707) * x6"
9,0.3834938,"sin((x3 + cos(x3)) * (-0.37752867 * x6))"
10,0.38210613,"cos(x3 + -0.91985613) * ((x6 * -0.60205215) + -0.13812566)"
11,0.3665631,"((x10 * -0.3766337) + x6) * ((x3 * -0.48157278) + -0.18727054)"
12,0.36489874,"(x6 * ((x3 + 0.46270323) * -0.46507925)) + (sin(x5) * -0.31203303)"
13,0.3465219,"((x3 + cos(x3)) * (-0.37752867 * x6)) + (sin(x5) * -0.37752867)"
15,0.32845882,"sin((((x6 * x3) + (cos(x6) * x9)) + (x10 * -0.49899834)) * -0.6264503)"
17,0.32819033,"sin(((sin(x5) * -0.56962264) + (x6 * ((x3 + 0.45622617) * -0.53758615))) + (x10 * 0.24965692))"
19,0.31915018,"sin((((x10 * -0.4884446) + ((x6 * x3) + (x9 * cos(x6)))) * -0.6145098) + (x6 * -0.12924767))"
20,0.3185405,"sin((x6 * -0.14456125) + ((sin((x10 * -0.5297578) + (x9 * cos(x6))) + (x3 * x6)) * -0.6196573))"
