Complexity,Loss,Equation
1,0.6025167,"0.20513764"
3,0.5894516,"x2 * 0.23485261"
4,0.5448977,"cos(x10) * 0.46162084"
5,0.4315464,"(x3 * -0.45677653) * x6"
6,0.42682424,"x6 * sin(x3 * -0.5304159)"
7,0.39430785,"(x6 * (x3 + 0.43725327)) * -0.44261396"
8,0.38483933,"((cos(x3) + x3) * -0.3367437) * x6"
9,0.36852083,"((x6 * x3) + (x0 * x9)) * -0.4513468"
10,0.35893604,"sin(((x3 + (x9 * x0)) * -0.58367944) * x6)"
11,0.3533245,"sin(((x9 * sin(x0)) + (x3 * x6)) * -0.5836282)"
12,0.3500368,"sin(((x9 * sin(sin(x0))) + (x3 * x6)) * -0.5836282)"
14,0.34013066,"sin(x6 * ((((sin(inv(x6)) * x9) * x0) + x3) * -0.6563435))"
18,0.33490354,"sin(((x6 * x3) + ((((x9 + -0.5497279) * x0) * 0.6430796) * (x0 * x9))) * -0.6147696)"
19,0.3347644,"sin(((x8 + 3.1384845) * -0.19521648) * ((((x9 * x0) * 0.8272762) + (sin(x6) * x3)) + -0.300245))"
