Complexity,Loss,Equation
1,0.5702917,"-0.07037178"
2,0.50860643,"sin(x0)"
3,0.40662935,"x10 * 0.41077664"
5,0.38559124,"(x4 + x0) * 0.33854306"
6,0.3223743,"sin(x10 + 1.0802561) + -0.5912336"
7,0.3199504,"sin(sin(x10 + 0.9830113)) + -0.5032758"
8,0.2956325,"(x10 + cos(x10 * 2.5048566)) * 0.43155307"
9,0.28300646,"sin(((x10 + -0.7433061) * sin(x0)) + -3.5360427)"
10,0.27605912,"sin(((x10 + -0.7711679) * sin(sin(x0))) + -3.499292)"
11,0.27215216,"sin(((-0.51932365 + x10) * (-0.22217172 + sin(x0))) + -3.5934916)"
12,0.26374945,"sin((sin(sin(x10 * x0)) * (x10 + -1.416685)) + 0.38537422)"
13,0.26142406,"sin(((x10 + -1.4481666) * sin(sin(x10 * sin(x0)))) + 0.3894042)"
14,0.25894037,"sin(((x10 + -1.5187038) * sin(sin(sin(sin(x0) * x10)))) + 0.39310625)"
15,0.25000763,"sin((sin(sin(sin(x0) * (x10 + -0.23104455))) * (x10 + -1.4451407)) + 0.37854955)"
16,0.24139522,"sin((x7 * -0.22590856) + (0.3886218 + (sin(sin(x10 * x0)) * (x10 + -1.3554417))))"
17,0.23592646,"sin(((x7 * -0.24207644) + ((x10 + -1.3437223) * sin(sin(sin(x10) * x0)))) + 0.36497608)"
18,0.23554908,"sin((-0.24335687 * x7) + (((x10 + -1.3481208) * sin(sin(sin(sin(x10) * x0)))) + 0.36724654))"
