Complexity,Loss,Equation
1,0.6025167,"0.20513754"
3,0.58945155,"x2 * 0.23491365"
4,0.5448977,"cos(x10) * 0.4615082"
5,0.43154636,"(x6 * -0.45678484) * x3"
6,0.42682424,"sin(x3 * -0.53042483) * x6"
7,0.39430788,"x6 * ((x3 + 0.4371793) * -0.44264373)"
8,0.39301088,"sin(x6 * ((x3 + 0.4756982) * -0.49038815))"
9,0.36852083,"((x3 * x6) + (x9 * x0)) * -0.45134404"
10,0.35893607,"sin((x3 + (x0 * x9)) * (x6 * -0.5836841))"
11,0.35144195,"(((x9 * x0) + (x3 * x6)) * -0.43497443) + 0.1320703"
14,0.33246997,"sin((((x0 * x9) + (x6 * x3)) * -0.6142264) + (x10 * 0.2530318))"
15,0.32472676,"sin((x10 * 0.2530318) + (((x6 * x3) + (sin(x0) * x9)) * -0.6142264))"
16,0.3197906,"sin(((((x0 * x9) + (x3 * x6)) + -0.25174278) * -0.56335586) + (x10 * 0.21219754))"
17,0.3092488,"sin((x10 * 0.2530318) + (((x6 * x3) + (sin(x0 + 0.2530318) * x9)) * -0.6142264))"
