Complexity,Loss,Equation
1,0.44329613,"0.016049622"
3,0.39840025,"x2 * -0.21248952"
4,0.39224336,"sin(x1) * -0.33919472"
5,0.3694535,"(x7 + x1) * -0.19086161"
6,0.36563453,"(x7 + sin(x1)) * -0.22648343"
7,0.35413262,"((x7 + x1) + x2) * -0.1488563"
8,0.33265787,"((exp(x6) * x1) + x7) * -0.16664661"
9,0.3284973,"((sin(x1) * exp(x6)) + x7) * -0.20185775"
10,0.32497793,"((x1 * (x3 + exp(x6))) + x7) * -0.16848381"
11,0.31294507,"(((x3 + exp(x6)) * sin(x1)) + x7) * -0.22648263"
12,0.3106775,"(x7 + (sin(x1) * (sin(x3) + exp(x6)))) * -0.22648343"
13,0.30780423,"(((x1 + sin(x4 * 3.0218503)) * exp(x6)) + x7) * -0.11021491"
14,0.30520245,"((sin(x4 * 2.6945467) * exp(x6)) + (x7 + sin(x1))) * -0.17811036"
15,0.30043787,"((((x1 + sin(x4 * 3.0878294)) * exp(x6)) * 0.5771154) + x7) * -0.19292234"
16,0.29403925,"(((x3 + exp(x6)) * sin(x4 * 2.8650918)) + (sin(x1) + x7)) * -0.18769327"
17,0.28953925,"sin((((exp(x6) + x3) * (sin(x4 * 2.891688) + sin(x1))) + x7) * -0.19852583)"
19,0.28532934,"sin(-0.19852583 * ((x7 + sin(x1)) + (((x10 * -0.81075895) + exp(x6)) * sin(x4 * 2.891688))))"
20,0.28371283,"sin(((((exp(x6) + x3) * (sin(x1) + sin(x4 * 3.1149473))) + sin(x7)) + x7) * -0.15747353)"
