Complexity,Loss,Equation
1,0.44329613,"0.016052475"
3,0.39840025,"x2 * -0.21248944"
4,0.3922434,"sin(x1) * -0.3392487"
5,0.3694535,"(x7 + x1) * -0.19087242"
6,0.36916086,"-0.18121716 * (x7 + sin(x1))"
7,0.35413262,"((x1 + x2) + x7) * -0.14885604"
10,0.34940353,"-0.18121716 * (sin(sin(x1)) + (x2 + sin(x7)))"
12,0.34842122,"((sin(x2 + 0.05835571) + x7) + sin(sin(x1))) * -0.20522283"
14,0.3481898,"-0.18121716 * ((sin(sin(x1)) + (x2 + x7)) + sin(x1 + x1))"
15,0.34770715,"(sin(sin(x1)) + ((x2 + sin(x7)) + sin(x1 + x1))) * -0.16114146"
16,0.3409815,"-0.18121716 * (sin(sin(x1)) + ((x2 + sin(x7)) + sin(x1 + exp(x10))))"
