Complexity,Loss,Equation
1,0.4533192,"-0.0840593"
2,0.44500774,"sin(-0.0253176)"
3,0.39840025,"x2 * -0.21247286"
4,0.3922818,"-0.34850177 * sin(x1)"
5,0.39216748,"-0.34850177 * sin(sin(x1))"
6,0.39100954,"(-0.34850177 * sin(x1)) + 0.036356952"
7,0.39092097,"sin(-0.34850177 * sin(x1)) + 0.036356952"
8,0.38105813,"sin((x1 * exp(sin(x8))) * -0.23186648)"
9,0.37680134,"sin(sin(-0.13445252 * ((-0.36946318 + x2) + x7)))"
10,0.36693174,"(((x7 * x1) + 1.2860186) * sin(x7)) * -0.23970689"
14,0.36657494,"((exp(x4 * 0.20973714) + (x7 * x1)) * sin(x7)) * cos(1.8128603)"
15,0.36128047,"sin(sin(((x2 * (((x4 + x2) + -1.1945889) * -1.0027659)) + x7) * -0.13404779))"
16,0.36087766,"sin(sin(sin((((x2 * ((x4 + x2) + -1.1945889)) * -1.0027659) + x7) * -0.13445252)))"
17,0.34482685,"sin(x9 * ((exp(x10 * -1.7826749) * -0.09960339) * sin(cos((x10 * x4) * -0.8894925))))"
