Complexity,Loss,Equation
1,0.5702917,"-0.07038055"
2,0.50860643,"sin(x0)"
3,0.40662938,"x10 * 0.41060978"
5,0.39419025,"0.4106248 * (x4 + x0)"
6,0.3896733,"sin(0.4106248 * (x0 + x4))"
7,0.34078255,"sin(sin(x6 * x0) * x6)"
8,0.29937226,"(cos(x10 * -2.2081459) + x10) * 0.41018605"
10,0.2966156,"sin(x6 * (sin(sin(x0 * x6)) + -0.2128473))"
11,0.29225162,"sin((x6 * (sin(x0 * x6) + -0.33287996)) + 0.051433966)"
12,0.27781287,"sin((((x6 + x4) + 0.27041945) * -1.1065546) * x6) * 1.173397"
13,0.2711177,"sin(sin(((x4 + x6) + 0.26693937) * (x6 * -0.89487845)) * 1.6442623)"
14,0.24704514,"sin((exp(x4) * 0.2594918) + (cos(1.4139645 + x0) * (x10 + -0.8559834)))"
15,0.23871763,"sin((exp(x4) * 0.2594918) + (cos(sin(x0) + 1.3391913) * (x10 + -0.8559834)))"
21,0.20983282,"sin(sin(sin((((x5 * cos(x10)) + -0.57222724) * -0.7708328) + x0) * 2.529002) + ((x6 * -0.32479295) + -0.47778732))"
